id,origin,destination,arrival_time
0,11,14,52.59010265365935
1,6,6,157.04159525183508
2,9,10,174.12998612601558
3,15,5,180.9634751759133
4,18,12,187.62613477911586
5,15,15,199.556747154826
6,8,9,211.77273662733367
7,11,13,279.85122558189755
8,5,13,295.49809571342064
9,10,13,299.42405508640576
10,6,8,303.8667199086144
11,9,6,307.9991775041343
12,17,15,341.41989285463023
13,15,6,412.6053485828689
14,0,4,416.64214991069076
15,0,1,446.83287181257026
16,12,0,447.42425126749947
17,0,18,448.4606126795897
18,17,4,448.7633073322717
19,16,0,450.0058454534326
20,0,18,453.70656049003196
21,2,16,455.47983062796663
22,12,0,456.8118445080911
23,9,0,458.46211605534575
24,0,8,459.0741680186538
25,0,14,459.3037058677955
26,0,14,459.46184360619037
27,0,6,461.65654792941746
28,0,15,462.05643600098546
29,0,7,462.1503352528175
30,14,10,463.99391845380694
31,0,2,464.167863893535
32,0,5,464.2775715880803
33,0,13,464.56788226552857
34,0,11,465.17284737435637
35,0,1,465.762565869864
36,0,6,466.14013818823787
37,8,8,467.7580714722474
38,17,0,472.2964824368932
39,0,17,473.60763570552655
40,0,18,474.4752020053258
41,9,6,475.17755754547966
42,0,13,475.2320509985394
43,0,18,475.26671822400795
44,7,15,476.5225461319667
45,0,11,480.0120853886804
46,18,0,480.3091483484184
47,0,4,480.32413393279467
48,0,10,480.54452511352144
49,0,19,480.88279847241176
50,2,7,482.19249459144345
51,8,9,482.36172335708926
52,0,6,482.3889264638248
53,0,17,482.87118188199486
54,0,4,482.983634530539
55,17,0,483.2332045621317
56,0,17,483.4142235896399
57,7,0,484.133921661654
58,0,15,486.9732239915717
59,0,3,488.9211001888179
60,0,17,490.35764574810685
61,8,7,491.1486823210506
62,19,16,491.4213175039812
63,0,15,491.5910042718249
64,0,5,492.2941209573701
65,0,16,493.25496853900796
66,0,15,493.6985477350096
67,0,15,493.7107583370498
68,0,7,494.19525332768603
69,0,10,495.0181548131807
70,0,16,495.6421815213848
71,13,2,496.65182028799506
72,0,16,498.12044008864024
73,16,0,499.0941833572999
74,0,19,499.13819632012473
75,0,9,502.0933207162503
76,13,0,502.70791292047414
77,15,0,506.1776598812981
78,0,10,506.58715040572696
79,0,2,506.8921463257054
80,0,14,509.13429678569685
81,0,17,510.5398689492882
82,0,19,510.81413069712005
83,0,9,511.4986393729934
84,0,10,514.095868781997
85,0,16,519.8644971713386
86,0,6,521.3521354751981
87,0,8,523.1749115554367
88,0,11,525.2381849668242
89,0,16,525.9367743828287
90,0,15,528.201525589402
91,0,19,529.8070010896882
92,0,2,539.2173288892607
93,0,17,545.2295463688731
94,0,9,555.5579173257476
95,0,11,558.651643799168
96,0,2,567.1658956129849
97,0,19,573.9201498795082
98,0,10,580.6387203049034
99,7,0,634.3258972995336
100,13,0,643.866344384016
101,8,0,679.6883839759314
102,2,0,683.825492364675
103,14,10,735.666881801138
104,0,3,735.8695306976805
105,19,17,735.9479320644234
106,12,9,736.6307207277143
107,8,2,736.806136949328
108,2,19,738.1142224962189
109,0,19,741.3943871754504
110,8,0,744.5229346728622
111,0,1,744.7538046738963
112,2,0,747.4864345709764
113,14,19,749.7932026729715
114,17,0,751.2919142179046
115,0,10,753.9489017306219
116,6,13,753.9794921725061
117,10,13,754.1229734200526
118,0,12,754.802237870292
119,11,13,755.6154709342258
120,0,5,755.6243264686941
121,10,5,756.0323801768387
122,0,10,757.379987235148
123,6,6,757.7212263777783
124,13,15,759.5744325097909
125,0,5,761.222662333071
126,2,10,761.949049180638
127,16,15,763.7351010342885
128,0,4,767.8377615507164
129,0,8,768.5086768876516
130,0,17,771.6883561571929
131,0,2,771.7284573839813
132,8,0,776.6446606308291
133,7,19,780.8806611126394
134,7,14,793.7512239593997
135,6,0,823.8949145462642
136,5,10,840.8614983616156
137,11,0,863.4711727835862
138,0,3,868.822372770761
139,15,10,963.5385639708189
140,0,19,986.2249118586325
141,10,7,999.7808140036216
142,5,0,1053.1187032670719
143,6,0,1086.7393358147078
144,2,9,1088.2664951628535
145,16,9,1091.961650210729
146,19,0,1091.976620202684
147,10,7,1092.6503141164194
148,1,0,1094.84285731182
149,0,3,1095.9467744783565
150,13,0,1098.9717268572488
151,17,0,1110.9817045724672
152,18,7,1111.335948604038
153,4,0,1111.574193333067
154,4,16,1111.885764752012
