id,origin,destination,arrival_time
0,5,2,0.7808023657204713
1,11,11,17.610760423253062
2,12,2,20.048668829777558
3,3,13,25.45042021566796
4,6,11,72.70127733555566
5,18,3,115.34887235274047
6,14,3,140.451940342823
7,19,18,161.32429833300387
8,12,17,168.752555994991
9,7,16,169.8990672362385
10,18,17,210.8334170423148
11,2,8,266.8280124895873
12,13,5,287.91955868603566
13,17,10,303.8441740354312
14,0,16,412.0172069904311
15,11,0,429.84538003359296
16,6,0,433.41936573682364
17,0,5,437.48840331705543
18,0,4,437.6190086515368
19,0,2,438.2105706229418
20,0,19,445.270871698356
21,14,8,445.3885439488397
22,19,11,447.6066687413111
23,0,5,447.761417458075
24,0,5,447.83292558636333
25,0,19,448.3343593844243
26,19,7,449.0838404587012
27,7,14,453.64045888072246
28,12,0,453.9774674114806
29,0,14,456.46270989169943
30,9,0,456.48525254878064
31,1,0,456.71156234919306
32,0,18,456.77603523802304
33,16,0,456.95164611783645
34,14,3,460.19913245184705
35,0,12,461.9670541920274
36,0,18,463.78381333734796
37,8,0,464.34173168398064
38,10,0,464.4485904964133
39,15,5,464.4918465831734
40,0,1,464.75813018564577
41,8,0,465.87531704536804
42,15,16,466.5499324505975
43,11,0,467.08529439782944
44,8,8,467.3035495163016
45,16,9,468.8895434969454
46,0,12,470.40239901679973
47,0,4,471.51336236458474
48,0,3,472.3078373292753
49,0,10,472.4322094842217
50,9,4,473.73667005427006
51,0,15,476.79360511774087
52,0,5,477.18697153013875
53,0,9,478.14247675991146
54,0,6,479.15565831509144
55,0,4,479.3926494235634
56,17,9,479.92743104029597
57,0,18,480.2147695345059
58,0,3,481.12657696713285
59,17,0,482.2217309500222
60,0,3,482.63878788317044
61,0,18,482.7758203288144
62,11,4,483.2695613966519
63,0,15,483.78039805545126
64,0,5,485.9550153991949
65,0,2,486.00884055841385
66,0,6,486.55168229258135
67,16,11,486.55197793093544
68,0,4,486.7779925818391
69,0,10,487.7608297349292
70,8,2,488.3241343847015
71,0,3,488.47693624820903
72,0,18,488.5682967603734
73,0,3,489.4928954663174
74,0,5,491.28386215153904
75,0,2,492.7359173286747
76,0,12,492.8047623648071
77,0,9,493.61722850583595
78,0,6,496.13207056508196
79,0,6,497.6043486635914
80,0,4,499.44632733799625
81,0,6,499.55601750168574
82,13,0,500.9985712414269
83,0,6,504.1875852552764
84,0,11,505.6756126174669
85,0,18,505.7791152575819
86,0,16,508.03748137102565
87,0,6,509.18909860404216
88,0,17,509.7176836425158
89,0,14,514.0486183290958
90,0,3,514.2413836006771
91,5,0,520.6021700970746
92,11,0,525.2200523728465
93,0,11,528.5476081161179
94,9,0,529.703976581493
95,0,19,539.3893566781068
96,0,15,570.914292413615
97,0,2,585.7207816602961
98,6,0,616.600066339337
99,13,18,617.1313093401428
100,6,7,637.6305460588719
101,4,14,662.7537475111035
102,14,17,698.0331472647314
103,18,0,734.1472164992174
104,15,6,734.868721707796
105,0,6,737.0604278910994
106,3,0,740.2154502117126
107,6,6,740.262182910911
108,9,13,742.0027366172757
109,11,0,742.5315539678802
110,13,10,742.7379384587728
111,13,0,743.1609635743143
112,2,0,743.4415151679392
113,5,17,744.1079155498876
114,15,0,744.7338344973955
115,6,5,745.6167114566097
116,19,12,746.8141091384525
117,11,0,746.9810701957794
118,0,9,747.619836794686
119,0,12,748.5146629244118
120,1,0,756.0875300374674
121,0,4,760.7636158326545
122,19,10,761.2246557757366
123,0,18,763.2994746579811
124,5,5,768.0638001029009
125,0,14,769.0129561415027
126,9,3,769.3262768251093
127,8,0,769.786999927028
128,10,9,770.1779878483225
129,0,5,771.0675578618657
130,11,0,771.8345328619325
131,0,7,775.8558569190996
132,2,11,789.3801970682531
133,0,7,790.2860727119378
134,18,0,819.7383950105965
135,0,11,869.4132608160523
136,0,15,873.3884584289154
137,0,1,874.5006693623776
138,0,17,933.5915274900948
139,16,0,950.524250449699
140,19,19,989.9287933261662
141,0,7,1014.3127038678524
142,2,0,1027.620685457389
143,10,0,1050.3714326712698
144,12,0,1060.8277462766448
145,2,0,1065.8296487213543
146,5,4,1123.876112218427
147,18,0,1124.0138008191834
148,4,0,1126.1273132503736
149,19,0,1127.6675698541394
150,10,0,1128.1091479516765
151,6,0,1129.1868093827038
152,15,0,1129.2267277727788
153,4,0,1129.6760511695668
154,14,0,1129.8780720016343
155,7,0,1133.0317428597282
156,15,0,1133.458366316122
157,3,0,1134.575975001265
158,0,6,1135.1542717476218
159,6,0,1136.5605409175944
160,13,16,1137.6389435357366
161,10,0,1138.7201823293105
162,13,0,1139.6111593304593
163,14,1,1140.960047726729
164,17,0,1141.5854281855406
165,5,0,1142.394197834762
